Q1A	Q1C_1	Q1C_2	Q1C_3	Q1C_4	Q1C_5	Q1C_6	Q1C_7	Q1C_8	Q1C_9	Q1C_10	Q1C_11	Q1C_12	Q1D_1	Q1D_2	Q1D_3	Q1D_4	Q1D_5	Q1D_6	Q1D_7	Q1D_8	Q1D_9	Q1D_10	Q1D_11	Q1D_12	Q2A	Q2B	Q2C	Q2E	Q2G_1	Q2G_2	Q2G_3	Q2G_4	Q2G_5	Q2H_1	Q2H_2	Q2H_3	Q2H_4	Q2H_5	Q3_A	Q3_B	Q3_C	Q3_D	Q3_E	Q3_F	Q3_G	Q3_H	Q3_I	Q3_J	Q3_K	Q3_L	Q3_M	Q3_N	Q3_O	Q4A_1	Q4A_2	Q4A_3	Q4A_4	Q4B_1	Q4B_2	Q4B_3	Q4B_4	Q4B_5	Q4B_6	Q4B_7	Q4B_8	Q4B_9	Q4B_10	Q4B_11	Q4B_12	Q4C	Q4E	Q5A	Q5B_1	Q5B_2	Q5B_3	Q5B_4	Q5B_5	Q5B_6	Q5B_7	Q5B_8	Q5B_9	Q5B_10	Q5B_11	Q5C_1	Q5C_2	Q5C_3	Q5C_4	Q5C_5	Q5C_6	Q5C_7	Q5C_8	Q5C_9	Q5C_10	Q5C_11	Q5D	Q5F_1	Q5F_2	Q5F_3	Q5F_4	Q5F_5	Q5F_6	Q5F_7	Q5F_8	Q5F_9	Q5F_10	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6B_A	Q6B_B	Q6B_C	Q6B_D	Q6B_E	Q6B_F	Q6B_G	Q6B_H	Q6B_I	Q6C_A	Q6C_B	Q6C_C	Q6C_D	Q6C_E	Q6C_F	Q6C_G	Q6C_H	Q6C_I	Q6D_1	Q6D_2	Q6D_3	Q6D_4	Q6D_5	Q6D_6	Q6D_7	Q6E_1	Q6E_2	Q6E_3	Q6E_4	Q6E_5	Q6E_6	Q6E_7	Q6F_1	Q6F_2	Q6F_3	Q6F_4	Q6F_5	Q6F_6	Q6F_7	Q6G	Q6I	Q6K	Q6M	Q6O_1	Q6O_2	Q6O_3	Q6O_4	Q6O_5	Q6O_6	Q6O_7	Q6O_8	Q6O_9	Q6O_10	Q6O_11	Q7A	Q7B	Q7D_1	Q7D_2	Q7D_3	Q7D_4	Q7F_1	Q7F_2	Q7F_3	Q7F_4	Q7F_5	Q7F_6	Q7F_7	Q7F_8	Q7F_9	Q7F_10	Q7F_11	Q7F_12	Q7F_13	Q7F_14	Q7F_15	Q7F_16	Q7F_17	Q7F_18	Q7F_19	Q7F_20	Q7F_21	Q7F_22	Q7F_23	Q7F_24	Q7F_25	Q7F_26	Q7F_27	Q7F_28	Q7F_29	Q7F_30	Q8A_1	Q8A_2	Q8A_3	Q8A_4	Q8A_5	Q8A_6	Q8A_7	Q8A_8	Q8A_9	Q8A_10	Q8A_11	Q8B_1	Q8B_2	Q8B_3	Q8B_4	Q8B_5	Q8B_6	Q8B_7	Q8B_8	Q8B_9	Q8B_10	Q9A_1	Q9A_2	Q9A_3	Q9A_4	Q9A_5	Q9A_6	Q9A_7	Q9A_8	Q9A_9	Q9B_1	Q9B_2	Q9B_3	Q9B_4	Q9B_5	Q9B_6	Q9B_7	Q9B_8	Q9B_9	Q10_1	Q10_2	Q10_3	Q10_4	Q11A	F1	F3	F4_1	F4_2	F4_3	F4_4	F4_5	F4_6	F4_7	F5	F6	F7	F8	F9	F11	F12	F13
2	2	3	3	2	3	1	1	3	2	3	3	3	6	NA	NA	5	NA	5	5	NA	5	NA	NA	NA	3	2	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	4	4	4	1	1	1	1	1	1	1	3	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	1	1	2	4	2	4	2	2	2	3	2	2	2	2	3	2	2	2	3	2	2	2	2	3	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	4	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	2	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	2	1	2	1	1	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	3	1	1	3	3	2	2	3	3	3	2	9	2	1	4	2	1	1
2	2	2	3	1	3	2	1	2	1	4	4	4	2	2	NA	2	NA	4	4	3	1	NA	NA	NA	1	NA	1	1	1	1	1	2	1	2	2	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	2	2	4	4	4	4	1	1	1	1	1	1	1	2	2	2	2	1	1	1	NA	1	1	2	3	3	1	3	2	2	2	2	2	2	1	3	3	2	3	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	4	3	1	3	2	2	2	1	1	2	2	2	3	2	3	3	2	2	2	3	3	NA	1	NA	4	NA	NA	NA	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	1	3	2	2	1	3	1	2	3	1	1	3	1	3	4	2	1	1	1	1	2	1	1	2	1	1	3	2	3	1	1	1	2	1	1	2	1	1	2	3	3	2	1	1	2	1	1	1	2	3	3	2	2	2	1	3	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	3	2	3	2	1	3	2	1	1
2	2	3	3	2	2	2	2	3	2	2	2	2	3	NA	NA	3	3	3	3	NA	3	3	3	3	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	3	3	3	3	1	2	1	1	1	1	1	1	1	2	2	2	4	2	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	NA	1	2	2	2	NA	NA	2	2	1	2	2	2	2	1	1	1	1	2	2	2	3	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	2	1	2	1	2	1	1	4	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	1	1	3	2	1	2	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	3	2	1	1	3	2	2	2	3	2	1	6	2	1	1
2	2	2	2	1	2	1	1	2	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	3	1	1	1	2	4	4	3	4	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	NA	1	2	2	2	NA	NA	1	1	1	2	1	2	1	1	2	1	1	1	2	2	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	1	1	1	2	2	2	1	2	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	3	1	1	2	1	1	1	2	2	2	1	2	2	1	1	1	2	3	3	2	2	3	3	3	2	2	2	1	5	2	1	1
1	4	2	2	3	2	2	3	2	4	4	4	4	NA	3	3	NA	3	5	NA	3	NA	NA	NA	NA	1	NA	1	1	3	3	3	3	3	3	2	3	2	3	2	1	1	1	1	1	1	1	1	1	1	3	1	2	2	4	3	3	4	1	3	1	1	1	1	1	1	1	3	1	1	6	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	3	2	2	3	1	3	1	2	3	1	1	1	1	1	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	3	3	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	3	1	1	2	2	3	1	2	2	2	2	2	1	3	3	2	2	2	1	1	1	1	1	1	3	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	3	2	3	3	2	1	2	1	1	1	2	2	3	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	1	2	1	1	1	1	2	1	2	3	3	3	2	5	3	1	6	3	1	1
1	2	2	2	1	2	1	2	2	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	3	2	3	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	3	2	4	3	3	3	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	3	2	4	4	3	2	3	3	3	2	1	3	3	2	1	3	1	3	1	1	3	3	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	3	5	2	NA	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	3	1	2	2	1	2	1	1	2	1	2	1	1	2	2	2	2	1	2	1	1	2	1	2	1	4	2	2	1	2	1	4	1	1	4	1	1	1	1	1	1	3	2	1	2	1	2	NA	2	3	1	2	3	3	3	4	2	2	1	6	2	1	1
2	2	2	2	4	2	1	2	3	1	2	1	2	3	5	5	NA	5	5	5	NA	5	6	3	3	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	3	3	3	1	1	1	3	3	3	1	2	2	4	4	3	3	1	2	1	1	3	3	1	1	1	3	2	1	7	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	3	3	1	1	3	2	1	2	1	2	2	3	3	2	1	3	3	2	4	5	2	2	2	2	2	2	1	1	2	2	2	3	2	2	2	4	4	3	3	1	1	4	4	3	3	1	2	2	1	2	1	1	2	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	1	2	2	2	3	3	2	4	2	3	3	2	1	1	1	1	3	1	1	2	1	2	3	1	1	3	3	3	3	1	3	2	3	1	3	1	3	2	2	1	3	2	3	1	1	2	1	3	1	3	3	3	2	2	3	2	3	1	3	2	3	2	3	3	1	1	2	1	2	1	2	4	4	1	1	2	1	1	1	1	4	4	1	2	1	2	1	1	1	3	2	2	2	3	3	3	1	1	4	1	7	2	1	1
2	2	3	3	1	3	2	1	3	2	2	2	1	3	NA	NA	3	NA	4	4	NA	3	3	3	3	2	2	2	1	2	1	1	1	1	1	3	1	3	2	1	1	1	1	1	2	1	1	1	2	1	1	3	2	2	3	4	4	4	1	1	1	1	1	1	1	1	1	1	2	1	6	1	4	1	1	1	1	2	1	1	1	3	3	1	2	2	2	1	1	3	2	2	1	1	2	2	3	2	1	2	2	1	1	1	1	3	3	2	4	2	4	2	2	2	2	1	1	2	3	4	2	3	2	3	2	1	2	3	3	1	1	2	1	3	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	3	2	3	1	1	2	3	2	3	2	1	1	1	4	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	3	1	1	1	3	2	3	1	2	2	2	3	1	1	2	1	1	2	3	1	1	3	2	2	2	3	3	2	1	1	3	1	1	1	2	2	2	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	3	3	3	2	1	3	1	2	2	1	1
1	2	3	2	1	1	1	1	2	1	2	1	1	3	NA	6	3	6	3	3	6	3	3	3	3	3	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	4	3	4	2	2	1	1	2	1	2	2	1	2	2	1	7	1	1	1	1	1	NA	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	2	1	2	NA	3	2	3	2	4	4	4	4	4	4	2	2	2	2	2	4	2	2	4	2	1	1	3	3	2	2	1	2	1	2	2	3	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	2	1	1	1	1	1	3	2	2	NA	1	1	1	1	1	1	2	1	1	3	2	3	1	1	1	1	1	2	2	1	1	1	3	1	2	1	1	2	2	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	2	2	3	2	2	3	3	3	4	6	5	1	6	3	1	1
2	2	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	3	1	1	1	1	1	1	2	2	2	2	2	2	3	1	2	1	2	1	3	2	3	2	1	1	1	2	4	4	4	4	1	2	1	1	3	1	1	1	1	NA	2	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	2	1	2	4	2	3	3	4	3	3	3	3	3	2	3	3	3	2	3	3	3	3	2	3	3	3	1	1	1	1	1	1	1	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	1	2	2	2	1	1	2	4	2	2	2	2	1	2	2	1	1	1	1	2	1	2	2	2	1	2	2	1	2	1	2	2	2	1	2	1	1	2	1	1	3	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	1	1	3	1	1	1	1	1	2	1	1	3	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	2	2	3	3	3	1	6	5	1	6	2	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	3	4	2	3	2	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	1	2	2	1	2	2	2	2	1	2	2	1	1	3	2	4	4	4	1	3	2	3	2	1	2	2	3	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	2	2	1	3	1	1	2	1	2	1	2	2	2	1	1	1	4	2	3	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	2	2	1	2	2	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	1	2	2	1	1	1	2	2	1	2	2	3	3	2	5	5	1	2	2	1	1
4	4	3	3	4	3	2	2	3	4	4	4	4	NA	NA	NA	NA	NA	4	4	NA	NA	NA	NA	NA	1	NA	3	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	3	1	1	2	2	4	4	4	3	NA	3	NA	1	1	1	1	1	1	1	3	NA	5	1	1	1	2	1	2	1	1	3	1	2	2	1	2	1	1	1	1	1	3	2	NA	NA	2	3	1	2	1	3	3	2	2	1	1	2	4	2	4	3	2	3	1	3	3	1	4	1	3	4	3	3	2	2	2	4	2	3	4	1	1	1	1	3	1	1	1	1	3	2	2	2	2	2	2	2	2	2	2	2	1	1	4	2	1	2	1	2	1	2	1	1	1	1	1	4	2	1	2	2	1	1	3	1	2	1	1	1	1	1	1	1	3	1	3	1	2	1	1	1	2	1	2	1	1	1	2	1	1	2	1	2	2	2	2	2	1	2	1	3	2	1	1	2	3	1	2	3	3	1	1	2	1	1	3	2	3	3	2	2	3	1	1	NA	1	NA	NA	1	2	NA	1	2	1	2	1	1	1	2	2	2	2	2	3	3	4	2	5	1	6	3	NA	1
1	1	2	2	2	1	1	2	2	1	1	1	2	2	NA	NA	NA	3	3	NA	NA	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	3	3	4	2	2	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	2	1	2	1	2	1	1	2	1	2	2	NA	2	NA	2	NA	2	2	NA	2	1	1	2	1	2	1	1	1	1	1	1	2	2	3	3	3	2	2	2	2	2	1	2	1	2	2	2	2	2	2	NA	2	NA	2	2	2	1	2	1	1	2	2	1	2	1	2	2	1	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	2	2	2	2	1	2	2	NA	2	2	2	1	2	1	1	1	2	1	1	3	1	1	1	2	2	1	2	1	2	2	1	1	3	3	1	2	1	2	3	1	2	1	2	2	1	1	3	3	2	2	3	3	3	1	3	4	1	6	1	1	1
1	2	1	1	1	1	1	1	2	1	1	1	1	4	5	5	5	5	5	5	5	5	5	5	5	3	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	3	2	2	4	4	4	4	1	2	1	1	1	1	1	1	1	2	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	1	2	1	1	1	1	1	1	1	1	4	2	4	2	3	3	2	2	2	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	2	3	3	2	3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	2	2	2	1	1	2	3	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	2	2	2	2	1	2	1	1	1	2	2	2	1	1	1	2	1	3	1	1	1	3	1	2	1	1	1	2	1	2	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	2	1	1	1	3	3	1	2	3	3	3	2	8	4	1	6	1	1	1
1	2	2	2	2	1	1	2	2	1	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	NA	1	3	1	2	2	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	2	2	3	3	4	3	1	1	1	2	1	1	1	1	1	2	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	2	2	1	2	2	2	3	1	2	2	3	1	3	2	3	1	2	2	3	2	3	2	2	3	3	3	3	2	2	1	1	1	2	2	2	3	3	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	2	1	1	1	1	1	1	1	2	2	1	NA	2	2	2	1	2	2	2	2	2	2	2	1	1	3	1	1	2	2	1	2	1	2	3	2	2	1	1	2	2	2	2	2	2	1	3	1	2	2	2	1	2	2	1	2	2	1	2	3	1	1	2	2	2	2	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	1	2	2	1	1	3	3	2	3	3	3	3	2	4	2	1	6	1	1	1
1	2	1	1	1	2	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	1	3	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	1	2	2	2	1	1	1	1	1	1	4	2	4	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	3	1	1	4	3	3	3	3	3	3	3	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	1	2	2	2	3	1	1	1	1	1	1	1	1	1	3	1	3	2	3	3	1	1	1	1	2	2	1	3	1	2	2	1	2	1	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	3	1	2	3	3	1	1	7	7	1	6	3	1	2
2	2	2	1	1	2	2	2	2	2	2	2	2	1	3	3	4	3	3	3	3	3	3	3	3	3	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	3	3	3	3	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	NA	2	2	NA	NA	NA	NA	2	1	2	1	2	1	1	1	1	1	1	1	2	4	4	4	3	3	3	3	3	2	2	3	3	1	2	2	2	1	1	2	3	2	2	2	2	3	3	2	1	1	2	2	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	3	3	1	2	3	3	3	3	3	2	1	3	2	2	2
1	2	4	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	2	4	1	1	2	2	2	2	2	1	1	1	1	1	3	1	2	1	3	3	3	1	1	1	1	1	3	3	2	2	2	2	2	2	2	1	1	1	1	1	3	3	2	2	2	1	2	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	1	2	2	3	1	1	1	2	1	1	2	1	1	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	3	3	3	3	3	3	3	1	1	3	1	1	1	1	2	2	NA	1	2	3	2	3	3	3	2	3	1	1	3	1	1	3	3	3	3	3	1	1	3	3	1	3	3	3	3	1	1	1	1	2	2	3	3	3	3	1	3	3	3	2	2	3	3	3	3	1	1	1	1	1	3	1	3	1	1	3	2	2	2	2	3	1	3	3	3	3	1	1	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	2	1	2	3	1	1	3	3	2	2	3	3	3	5	6	1	2	NA	3	1	1
